EuroCrops: Harmonized Open Crop Dataset,,,,,
translated_name-original_name,HCAT3_name,HCAT2_name,gpw_class,weight,obs
Afforestation with treehight below 3 m,afforestation_reforestation,afforestation_reforestation,0,0,
African marigold,calendula_marigold,calendula_marigold,3,1,
Ageratum (weight liver balm),flowers_ornamental_plants,flowers_ornamental_plants,3,1,
Agricultural land permanently withdrawn from agriculture,other_arable_land_crops,other_arable_land_crops,2,2,
Agricultural nature mixture,not_known_and_other,not_known_and_other,0,0,
Agroforestry,tree_wood_forest,tree_wood_forest,0,1,
Ajuga reptans,other_plants_harvested_green,other_plants_harvested_green,3,1,
Alder,tree_wood_forest,tree_wood_forest,0,1,
Alexandrian clover,clover,clover,2,1,forage crop
Alfalfa,alfalfa_lucerne,alfalfa_lucerne,2,1,forage crop
Alfalfa grass,alfalfa_lucerne,alfalfa_lucerne,2,1,forage crop
Alfalfa planted for the 2016 harvestAlfalfa planted for the 2016 harvest,alfalfa_lucernealfalfa_lucerne,alfalfa_lucernealfalfa_lucerne,2,1,forage crop
Alfalfa planted for the 2017 harvest,alfalfa_lucerne,alfalfa_lucerne,2,1,forage crop
Alfalfa planted for the 2018 harvest,alfalfa_lucerne,alfalfa_lucerne,2,1,forage crop
Alfalfa-grass mixture,alfalfa_lucerne,alfalfa_lucerne,2,1,forage crop
All other surfaces (no LF),not_known_and_other,not_known_and_other,0,0,
Allium / leek (onion,alliums,alliums,3,1,
AlmondAlmond,almondalmond,almondalmond,3,1,
Alpine grasslands (type G),pasture_meadow_grassland_grass,pasture_meadow_grassland_grass,1,1,
Alpine thistle,marian_thistles,marian_thistles,3,1,
Alsike clover (100%),clover,clover,2,1,
Alsike clover (at least 80% clover up to 20% grasses),clover,clover,2,1,
Alsike clover (clover 50-80% other grasses 20-50%),clover,clover,2,1,
Alternating grassland,pasture_meadow_grassland_grass,pasture_meadow_grassland_grass,1,1,
Alvar,unmaintained,unmaintained,0,0,
Amaryllis flower bulbs and tubers,flowers_ornamental_plants,flowers_ornamental_plants,3,1,
Amaryllis other flower nursery crops,flowers_ornamental_plants,flowers_ornamental_plants,3,1,
"Amaryllis, dried flowers",other_flowers_ornamental_plants,other_flowers_ornamental_plants,3,1,
American blueberry,blueberry,blueberry,3,1,
Anemones,anemones_windflowers,anemones_windflowers,3,1,
Anethum (dill,anethum_dill,anethum_dill,3,1,
Angelic,angelica,angelica,3,1,
Angelica,angelica,angelica,3,1,
Angelica - industry,angelica,angelica,3,1,
Angelica production,angelica,angelica,3,1,
"Angelica, seeds and propagation material",angelica,angelica,3,1,
Anise,anise_aniseed,anise_aniseed,3,1,
Annual Alfalfa,alfalfa_lucerne,alfalfa_lucerne,2,1,forage crop
Annual and biennial plants,other_arable_land_crops,other_arable_land_crops,2,2,
Annual pepper,piper_pepper,piper_pepper,3,1,
Annual ryegrass and other annual grasses,lolium_ryegrass,lolium_ryegrass,2,1,
Annual silver leafAnnual silver leaf,lunaria_honesty_silverlunaria_honesty_silver,lunaria_honesty_silverlunaria_honesty_silver,3,1,
Annual sunflower,sunflower,sunflower,3,1,
Another root fodder plant of another type,other_industrial_crops,other_industrial_crops,3,1,
Apple,apples,apples,3,1,
Apple rose,rose_hip_rosehip,rose_hip_rosehip,3,1,
ApplesApples,applesapples,applesapples,3,1,
Apples in full cultivation,apples,apples,3,1,
Apples. Planted current season.,apples,apples,3,1,
Apricot,apricots,apricots,3,1,
Apricots,apricots,apricots,3,1,
Apsen,aspen,aspen,0,1,
Arable crops of a genus / species not included in the current list,other_arable_land_crops,other_arable_land_crops,2,2,
Arable grassArable grass,pasture_meadow_grassland_grasspasture_meadow_grassland_grass,pasture_meadow_grassland_grasspasture_meadow_grassland_grass,1,2,
Arable landArable land,arable_cropsarable_crops,arable_cropsarable_crops,0,0,
Arable land withdrawn from production (self-greening),unmaintained,unmaintained,0,0,
Arbutus unedo,strawberries,strawberries,3,1,
Area where the proportion of naturally sown plants exceeds 40% the number of vegetable crops per square meter is less than the number specified in Annex 2.2 to these Regulations and no weed control agronomic measures have been implemented for at least t,not_known_and_other,not_known_and_other,0,0,
Areas afforested according to VO 1257/1999 or VO (EG) No. 1698/2005 or VO 1305/2013,afforestation_reforestation,afforestation_reforestation,0,0,
Armenian plum,plums,plums,3,1,
Aromatic plants,aromatic_medicinal_culinary_plants_spices_herbs,aromatic_medicinal_culinary_plants_spices_herbs,3,2,
Artemisia (Wer. Estr. Beif.),artemisia,artemisia,3,1,
Artichoke,artichoke,artichoke,3,1,
Artichoke - fresh,artichoke,artichoke,3,1,
Artificial build up network,not_known_and_other,not_known_and_other,0,0,
Artificial build up surface,not_known_and_other,not_known_and_other,0,0,
Artificial non-build up surface,not_known_and_other,not_known_and_other,0,0,
Arugla,rocket_arugula,rocket_arugula,3,1,
Arugula,rocket_arugula,rocket_arugula,3,1,
Arugula (nematode-catching crop),other_salads_lettuce_leaf_vegetables,other_salads_lettuce_leaf_vegetables,3,1,
Asian pear,pears,pears,3,1,
AsparagusAsparagusAsparagus,asparagusasparagusasparagus,aspargusaspargusaspargus,3,1,
Asparagus - fresh,asparagus,aspargus,3,1,
Asparagus - industry,asparagus,aspargus,3,1,
Asparagus area that does not yet yield production,asparagus,aspargus,3,1,
Asparagus area yielding production,asparagus,aspargus,3,1,
Asparagus seeds and propagation material,asparagus,aspargus,3,1,
Aspen poplar,aspen,aspen,0,1,
Association of crops and natural trees,tree_wood_forest,tree_wood_forest,0,1,
Association of herbaceous and woody crops,tree_wood_forest,tree_wood_forest,0,1,
Asters,asters,asters,3,1,
Aubergine,aubergine_eggplant,aubergine_eggplant,3,1,
Avenue trees/park trees,other_tree_wood_forest,other_tree_wood_forest,0,1,
Avenue trees/park trees erectors open ground,other_tree_wood_forest,other_tree_wood_forest,0,1,
Avenue trees/park trees erectors pot and container fields,other_tree_wood_forest,other_tree_wood_forest,0,1,
Avenue trees/park trees rootstocks pot and container fields,other_tree_wood_forest,other_tree_wood_forest,0,1,
Avenue trees/park trees spindles pot and container fields,other_tree_wood_forest,other_tree_wood_forest,0,1,
Avocado,avocado,avocado,3,1,
Azalea,azaleas,azaleas,3,1,
BARLEY,barley,barley,3,1,
BEANBEAN,beansbeans,beansbeans,3,1,
BEAN; OTHER VEGETABLES; POTATO,beans,beans,3,1,
BEAN; OTHER VEGETABLES; POTATO,fresh_vegetables,fresh_vegetables,3,1,
BEAN; OTHER VEGETABLES; POTATO,potatoes,potatoes,3,1,
BEAN; PEA; OTHER VEGETABLES; BROAD BEANBEAN; PEA; OTHER VEGETABLES; BROAD BEAN,beansbeans,beansbeans,3,1,
BEAN; PEA; OTHER VEGETABLES; BROAD BEAN,fresh_vegetables,fresh_vegetables,3,1,
BEAN; PEA; OTHER VEGETABLES; BROAD BEAN,peas,peas,3,1,
BEAN; POTATO; OTHER VEGETABLES,beans,beans,3,1,
BEAN; POTATO; OTHER VEGETABLES,fresh_vegetables,fresh_vegetables,3,1,
BEAN; POTATO; OTHER VEGETABLES,potatoes,potatoes,3,1,
BEANS; BROAD BEANBEANS; BROAD BEAN,beansbeans,beansbeans,3,1,
BEANS; OATS,beans,beans,3,1,
BEANS; OATS,oats,oats,3,1,
BEANS; ONION,beans,beans,3,1,
BEANS; ONION,onions,onions,3,1,
BEANS; OTHER VEGETABLES,beans,beans,3,1,
BEANS; OTHER VEGETABLES,fresh_vegetables,fresh_vegetables,3,1,
BEANS; POTATOES,beans,beans,3,1,
BEANS; POTATOES,potatoes,potatoes,3,1,
BEANS; TURNIP,beans,beans,3,1,
BEANS; TURNIP,turnips,turnips,3,1,
BEE FLOWER FALLOW,fallow_land_not_crop,fallow_land_not_crop,0,0,
BEET PROPAGATION,beetroot_beets,beetroot_beets,3,1,
BEETROOT,beetroot_beets,beetroot_beets,3,1,
BITTER LUPINES,sweet_lupins,sweet_lupins,3,1,
BLACK OAK NEGRAL PLANTATION,oak,oak,3,1,
BLACKBERRY,blackberry,blackberry,3,1,
BLUEBERRY,blueberry,blueberry,3,1,
BOSKETTS,tree_wood_forest,tree_wood_forest,0,1,
BUCKWHEAT,buckwheat,buckwheat,3,1,
BUILDINGS,not_known_and_other,not_known_and_other,0,0,
Baby corn,grain_maize_corn_popcorn,grain_maize_corn_popcorn,3,1,
Balm (lemon balm),lemon_balm_melissa,lemon_balm_melissa,3,1,
Bank edge control program (permanent greenland only AUM),not_known_and_other,not_known_and_other,0,0,
Barley (autumn),winter_barley,winter_barley,3,1,
Barley summer,spring_barley,summer_barley,3,1,
Barley summer with grass or legume sowing,spring_barley,summer_barley,3,1,
Barley winterBarley winter,winter_barleywinter_barley,winter_barleywinter_barley,3,1,
Barley; lolium,barley,barley,3,1,
Barley; lolium,lolium_ryegrass,lolium_ryegrass,2,1,
BasilBasil,basilbasil,basilbasil,3,1,
Basil - fresh consumption,basil,basil,3,1,
Basil - industry,basil,basil,3,1,
Basket willow,willows_osiers,willows_osiers,3,1,
Bastard clover,clover,clover,2,1,
Bean / Flageolet,beans,beans,3,1,
Beans field (including pigeon-,beans,beans,3,1,
Beans garden (dry harvest) (no consumption),beans,beans,3,1,
Beans garden (green to be harvested),beans,beans,3,1,
"Beans, field (including pigeon, horse, weed beans) (can be harvested dry",peas,peas,3,1,
Bedding and balcony plants,flowers_ornamental_plants,flowers_ornamental_plants,3,1,
Beet,beetroot_beets,beetroot_beets,3,1,
Beetroot,beetroot_beets,beetroot_beets,3,1,
Beetroot (Beetroot),beetroot_beets,beetroot_beets,3,1,
Beetroot - fresh,beetroot_beets,beetroot_beets,3,1,
Beetroot seeds,beetroot_beets,beetroot_beets,3,1,
Beetroot seeds beetroot seeds,beetroot_beets,beetroot_beets,3,1,
"Beets, fodder (including Jerusalem artichokes)",unspecified_root_vegetables,unspecified_root_vegetables,3,1,
Beets/red beets production,beetroot_beets,beetroot_beets,3,1,
Beets/red beets seeds and propagation material,beetroot_beets,beetroot_beets,3,1,
Begonias,begonias,begonias,3,1,
Bell pepper - fresh,bell_pepper_paprika,bell_pepper_paprika,3,1,
BerriesBerriesBerries,berries_berry_speciesberries_berry_speciesberries_berry_species,berries_berry_speciesberries_berry_speciesberries_berry_species,3,1,
Berries black (yield processed for processing industry),blackberry,blackberry,3,1,
Berries blue,blueberry,blueberry,3,1,
Berries for propagation (in tree nurseries),nurseries_nursery,nurseries_nursery,3,1,
Berries red,redcurrant,redcurrant,3,1,
Berry,berries_berry_species,berries_berry_species,3,1,
Bibernels (aniseed),anise_aniseed,anise_aniseed,3,1,
Bigarreau cherry for processing,cherry_cherries,cherry_cherries,3,1,
Biotopes with agricultural use,other_arable_land_crops,other_arable_land_crops,2,2,
Birch overhanging,birch,birch,3,1,
Bird cherry,cherry_cherries,cherry_cherries,3,1,
Birdsfoot trefoil (100%),not_known_and_other,not_known_and_other,0,0,
Black chokeberryBlack chokeberry,aronia_chokeberriesaronia_chokeberries,aronia_chokeberriesaronia_chokeberries,3,1,
Black cumin,black_cumin,black_cumin,3,1,
Black cumin (real black cumin,black_cumin,black_cumin,3,1,
Black fallow,fallow_land_not_crop,fallow_land_not_crop,0,0,
Black mustard,mustard,mustard,3,1,
Black poplar,populus,populus,3,1,
Black radish - fresh,radish,radish,3,1,
Black radish - industry,radish,radish,3,1,
Black seed radish,radish,radish,3,1,
Blackberries,blackberry,blackberry,3,1,
BlackberryBlackberryBlackberry,blackberryblackberryblackberry,blackberryblackberryblackberry,3,1,
BlackcurrantBlackcurrantBlackcurrant,blackcurrant_cassisblackcurrant_cassisblackcurrant_cassis,blackcurrant_cassisblackcurrant_cassisblackcurrant_cassis,3,1,
Blackcurrant multiplication by cutting,blackcurrant_cassis,blackcurrant_cassis,3,1,
Blackcurrants,blackcurrant_cassis,blackcurrant_cassis,3,1,
Blue grape dried flowers,vineyards_wine_vine_rebland_grapes,vineyards_wine_vine_rebland_grapes,3,1,
Blue moonseed,moonseed,moonseed,3,1,
Bluebells (campanula),bluebells,bluebells,3,1,
Blueberries,blueberry,blueberry,3,1,
Blueberries (blueberries),blueberry,blueberry,3,1,
Blueberry,blueberry,blueberry,3,1,
Blueberry (Cranberry),blueberry,blueberry,3,1,
Bok choy production,bok_choy_pak_choi,bok_choy_pak_choi,3,1,
BorageBorageBorage,borageborageborage,borageborageborage,3,1,
Borage 5 years or less,borage,borage,3,1,
Border adjacent to arable land consisting mainly of a crop other than grass. (EA: management),other_arable_land_crops,other_arable_land_crops,2,2,
Border adjacent to arable land consisting mainly of a crop other than grass. (EA: unattended),other_arable_land_crops,other_arable_land_crops,2,2,
Border adjacent to permanent grassland or a permanent crop consisting mainly of permanent grass,pasture_meadow_grassland_grass,pasture_meadow_grassland_grass,1,1,
Border adjacent to permanent pasture or a permanent crop consisting mainly of temporary grass,temporary_grass,temporary_grass,2,1,
Border adjacent to permanent pasture or permanent crop consisting mainly of a crop other than grass,other_arable_land_crops,other_arable_land_crops,2,2,
"Border, adjacent to arable land, consisting mainly of a crop other than grass",other_arable_land_crops,other_arable_land_crops,2,2,
Boxwood pot and container field,shrubberries_shrubs,shrubberries_shrubs,3,1,
Brassica juncea,mustard,mustard,3,1,
Broad and field beans (Vicia faba) - industry,beans,beans,3,1,
Broad and field beans (not for human consumption),beans,beans,3,1,
Broad bean,beans,beans,3,1,
"Broad bean (excl. """"Jgeva"""") ",beans,beans,3,1,
Broad beans (Vicia faba) - fresh,beans,beans,3,1,
Broadleaf deciduous forest,tree_wood_forest,tree_wood_forest,0,1,
BroccoliBroccoli,broccolibroccoli,broccolibroccoli,3,1,
Broccoli - fresh,broccoli,broccoli,3,1,
Broccoli - industry,broccoli,broccoli,3,1,
Broccoli production,broccoli,broccoli,3,1,
Brocolli seeds and growing material,broccoli,broccoli,3,1,
Bromine 5 years or less,not_known_and_other,not_known_and_other,0,0,
Broom-cornBroom-corn,grain_maize_corn_popcorngrain_maize_corn_popcorn,grain_maize_corn_popcorngrain_maize_corn_popcorn,3,1,
Brown beans,beans,beans,3,1,
Brown mustard,mustard,mustard,3,1,
Brown mustard (Sareptasenf),mustard,mustard,3,1,
Brown mustard / Sareptasenf,mustard,mustard,3,1,
Browntop and creeping bent,vetches,vetches,3,1,
Brussel sprouts,brussels_sprouts,brussels_sprouts,3,1,
Brussels sprouts - fresh,brussels_sprouts,brussels_sprouts,3,1,
Brussels sprouts - industry,brussels_sprouts,brussels_sprouts,3,1,
Brussels sprouts production,brussels_sprouts,brussels_sprouts,3,1,
Brussels sprouts/brussels sprouts seeds and propagation material,brussels_sprouts,brussels_sprouts,3,1,
BuckwheatBuckwheatBuckwheatBuckwheatBuckwheatBuckwheatBuckwheatBuckwheatBuckwheatBuckwheatBuckwheat,buckwheatbuckwheatbuckwheatbuckwheatbuckwheatbuckwheatbuckwheatbuckwheatbuckwheatbuckwheatbuckwheat,buckwheatbuckwheatbuckwheatbuckwheatbuckwheatbuckwheatbuckwheatbuckwheatbuckwheatbuckwheatbuckwheat,3,1,
Buckwheat,other_arable_land_crops,other_arable_land_crops,2,2,
Buckwheat undersown (excl. legumes),buckwheat,buckwheat,3,1,
Buckwheat undersown with legumes,buckwheat,buckwheat,3,1,
Buckwheat with legume seed,buckwheat,buckwheat,3,1,
Buffer strip,not_known_and_other,not_known_and_other,0,0,"area of land maintained in permanent vegetation that helps to control air quality, soil quality, and water quality, along with other environmental problems, dealing primarily on land that is used in agriculture"
Buffer strip edge (including any riparian vegetation),not_known_and_other,not_known_and_other,0,0,
Buffer strips ecological preferance zones permanent grassland,pasture_meadow_grassland_grass,pasture_meadow_grassland_grass,1,1,
Building i.c.v. widening,not_known_and_other,not_known_and_other,0,0,
Building not specified,not_known_and_other,not_known_and_other,0,0,
Burdock,arctium_burdock,arctium_burdock,3,1,
Burnet,burnet,burnet,3,1,
Butternut Squashes - Fresh,pumpkin_squash_gourd,pumpkin_squash_gourd,3,1,
Butternut Squashes - Industry,pumpkin_squash_gourd,pumpkin_squash_gourd,3,1,
Butternut squash / Butternut,pumpkin_squash_gourd,pumpkin_squash_gourd,3,1,
CABBAGE,brassica_oleracea_cabbage,brassica_oleracea_cabbage,3,1,
CABBAGE; LUPIN; BEAN BEAN,beans,beans,3,1,
CABBAGE; LUPIN; BEAN BEAN,brassica_oleracea_cabbage,brassica_oleracea_cabbage,3,1,
CABBAGE; LUPIN; BEAN BEAN,sweet_lupins,sweet_lupins,3,1,
CABBAGE; OATS,brassica_oleracea_cabbage,brassica_oleracea_cabbage,3,1,
CABBAGE; OATS,oats,oats,3,1,
CABBAGE;POTATO;ONION,brassica_oleracea_cabbage,brassica_oleracea_cabbage,3,1,
CABBAGE;POTATO;ONION,onions,onions,3,1,
CABBAGE;POTATO;ONION,potatoes,potatoes,3,1,
CAMELINA (Camelina sativa),camelina,camelina,3,1,
CANARY SEED,canary_seed_canaryseed,canary_seed_canaryseed,3,1,
CARROT,carrots_daucus,carrots_daucus,3,1,
CASTANIA,sweet_chestnuts,sweet_chestnuts,3,1,
CEREALS; SOY,cereal,cereal,3,1,
CEREALS; SOY,soy_soybeans,soy_soybeans,3,1,
CHERRIES,cherry_cherries,cherry_cherries,3,1,
CHERRY,cherry_cherries,cherry_cherries,3,1,
CHESTNUT PLANTATION; OTHER HARDWOOD PLANTATION,sweet_chestnuts,sweet_chestnuts,3,1,
CHESTNUT PLANTATION; OTHER HARDWOOD PLANTATION,tree_wood_forest,tree_wood_forest,0,1,
CHESTNUT PLANTATIONS,sweet_chestnuts,sweet_chestnuts,3,1,
CHICKPEA,chickpeas,chickpeas,3,1,
CHICKPEAS,chickpeas,chickpeas,3,1,
CLOVERCLOVER,cloverclover,cloverclover,2,1,
CLOVER / FIELD VEGETABLES,clover,clover,2,1,
CLOVER / FIELD VEGETABLES,fresh_vegetables,fresh_vegetables,3,1,
CLOVER GRASS / FIELD VEGETABLES,clover,clover,2,1,
CLOVER GRASS / FIELD VEGETABLES,fresh_vegetables,fresh_vegetables,3,1,
CLOVER-GRASS,clover,clover,2,1,
COMMON BIRDSFOOT,legumes_harvested_green,legumes_harvested_green,2,1,
COMMON LAND PASTURE,pasture_meadow_grassland_grass,pasture_meadow_grassland_grass,1,1,
CONCENTRATED ZONE,not_known_and_other,not_known_and_other,0,0,
CONSOCIATION OF NITROGEN FIXERS,not_known_and_other,not_known_and_other,0,0,
CORK OAK FOR CORK PRODUCTION,oak,oak,3,1,
CORK OAK PLANTATION,oak,oak,3,1,
CORN,grain_maize_corn_popcorn,grain_maize_corn_popcorn,3,1,
CORN / BEETLE BEANS IN SEPARATED ROWS,beans,beans,3,1,
CORN / BEETLE BEANS IN SEPARATED ROWS,grain_maize_corn_popcorn,grain_maize_corn_popcorn,3,1,
CORN CORN COB MIX (CCM) / FIELD VEGETABLES,fresh_vegetables,fresh_vegetables,3,1,
CORN CORN COB MIX (CCM) / FIELD VEGETABLES,grain_maize_corn_popcorn,grain_maize_corn_popcorn,3,1,
CORN CORN-COB-MIX (CCM),grain_maize_corn_popcorn,grain_maize_corn_popcorn,3,1,
CORN; ANNUAL AND OTHER CULT. FORAGE ANNUALS,grain_maize_corn_popcorn,grain_maize_corn_popcorn,3,1,
CORN; ANNUAL AND OTHER CULT. FORAGE ANNUALS,other_arable_land_crops,other_arable_land_crops,2,2,
CORN; OATS,grain_maize_corn_popcorn,grain_maize_corn_popcorn,3,1,
CORN; OATS,oats,oats,3,1,
CORN; OTHER VEGETABLES; ANNUAL CONSOCIATIONS AND OTHER CULT. FORAGE ANNUALS,fresh_vegetables,fresh_vegetables,3,1,
CORN; OTHER VEGETABLES; ANNUAL CONSOCIATIONS AND OTHER CULT. FORAGE ANNUALS,grain_maize_corn_popcorn,grain_maize_corn_popcorn,3,1,
CORN; OTHER VEGETABLES; ANNUAL CONSOCIATIONS AND OTHER CULT. FORAGE ANNUALS,other_arable_land_crops,other_arable_land_crops,2,2,
CORN; OTHER VEGETABLES; POTATO,fresh_vegetables,fresh_vegetables,3,1,
CORN; OTHER VEGETABLES; POTATO,grain_maize_corn_popcorn,grain_maize_corn_popcorn,3,1,
CORN; OTHER VEGETABLES; POTATO,potatoes,potatoes,3,1,
CORN; TEMPORARY MEADOWS,grain_maize_corn_popcorn,grain_maize_corn_popcorn,3,1,
CORN; TEMPORARY MEADOWS,temporary_grass,temporary_grass,2,1,
COURGETTE,zucchini_courgette,zucchini_courgette,3,1,
CUP PLANT (Silphium perfoliatum),silphium_rosinweeds,silphium_rosinweeds,3,1,
CURRENTS AND SUP. OF WATER,not_known_and_other,not_known_and_other,0,0,
CUT WINE GARDEN,vineyards_wine_vine_rebland_grapes,vineyards_wine_vine_rebland_grapes,3,1,
Cabbage,brassica_oleracea_cabbage,brassica_oleracea_cabbage,3,1,
Cabbage,white_cabbage,white_cabbage,3,1,
Cabbage seeds (white and red cabbage),brassica_oleracea_cabbage,brassica_oleracea_cabbage,3,1,
Cabbages not elsewhere specified or included (white or red headed cabbages Brussels sprouts kohlrabi kale savoy cabbages kale broccoli Beijing cabbages) other than fodder cabbages,brassica_oleracea_cabbage,brassica_oleracea_cabbage,3,1,
CamelinaCamelinaCamelinaCamelina,camelinacamelinacamelinacamelina,camelinacamelinacamelinacamelina,3,1,
Camelina sativa,brassicaceae_cruciferae,brassicaceae_cruciferae,3,1,
Canary Island shrub,shrubberries_shrubs,shrubberries_shrubs,3,1,
Canary seeds,canary_seed_canaryseed,canary_seed_canaryseed,3,1,
CannabisCannabis,hemp_cannabishemp_cannabis,hemp_cannabishemp_cannabis,3,1,
Cannabis Heinola,hemp_cannabis,hemp_cannabis,3,1,
Cannabis seed,hemp_cannabis,hemp_cannabis,3,1,
Capuchin cresses,cress,cress,3,1,
Capuchins (and gray peas),peas,peas,3,1,
CarawayCaraway,carawaycaraway,carawaycaraway,3,1,
Caraway (real caraway),caraway,caraway,3,1,
Caraway seed,caraway,caraway,3,1,
Caraway seed (harvest this year),caraway,caraway,3,1,
Caraway seeds,caraway,caraway,3,1,
Carnations (Bard / noble carnation),carnation,carnation,3,1,
Carnations (sweet carnation,carnation,carnation,3,1,
Carob,carob,carob,3,1,
CarrotCarrot,carrots_daucuscarrots_daucus,carrots_daucuscarrots_daucus,3,1,
Carrot (also feeding carrot),carrots_daucus,carrots_daucus,3,1,
Carrot (carrot / carrot,carrots_daucus,carrots_daucus,3,1,
Carrot (early) (consumption) - fresh,carrots_daucus,carrots_daucus,3,1,
Carrot (early) (consumption) - industry,carrots_daucus,carrots_daucus,3,1,
Carrot (non-early) (consumption) - fresh,carrots_daucus,carrots_daucus,3,1,
Carrot (non-early) (consumption) - industry,carrots_daucus,carrots_daucus,3,1,
Carrot parsley - fresh consumption,parsly,parsly,3,1,
Carrot productionCarrot production,carrots_daucuscarrots_daucus,carrots_daucuscarrots_daucus,3,1,
"Carrot, production",carrots_daucus,carrots_daucus,3,1,
"Carrot, seeds and propagating material",carrots_daucus,carrots_daucus,3,1,
Carrots,carrots_daucus,carrots_daucus,3,1,
Carrots seeds and propagation material,carrots_daucus,carrots_daucus,3,1,
Cartilage carrots (bishop's herb),carrots_daucus,carrots_daucus,3,1,
Castor,ricinus_castor,ricinus_castor,3,1,
CauliflowerCauliflowerCauliflowerCauliflower,cauliflowercauliflowercauliflowercauliflower,cauliflowercauliflowercauliflowercauliflower,3,1,
Cauliflower - fresh,cauliflower,cauliflower,3,1,
Cauliflower - industry,cauliflower,cauliflower,3,1,
Cauliflower summer production,cauliflower,cauliflower,3,1,
Cauliflower summer seeds and growing material,cauliflower,cauliflower,3,1,
Cauliflower winter production,cauliflower,cauliflower,3,1,
Cauliflower winter seeds and propagation material,cauliflower,cauliflower,3,1,
"Cauliflower, production",cauliflower,cauliflower,3,1,
"Cauliflower, seeds and growing material",cauliflower,cauliflower,3,1,
Celeriac,celeriac,celeriac,3,1,
Celeriac - fresh,celeriac,celeriac,3,1,
Celeriac - industry,celeriac,celeriac,3,1,
Celeriac production,celeriac,celeriac,3,1,
Celeriac seeds and propagation material,celeriac,celeriac,3,1,
CeleryCelery,celerycelery,celerycelery,3,1,
Celery (celery root,celery,celery,3,1,
Celery (tuber / pale / stick),celery,celery,3,1,
Celery - fresh,celery,celery,3,1,
Celery - industry,celery,celery,3,1,
Celery bleach and green production,leaf_celery,leaf_celery,3,1,
Celery bleach and greens seeds and propagation material,leaf_celery,leaf_celery,3,1,
Celery fragrant stalk,celery,celery,3,1,
Celery leaves,leaf_celery,leaf_celery,3,1,
Celery leaves - fresh,leaf_celery,leaf_celery,3,1,
Celery leaves - industry,celery,celery,3,1,
Cereal (spring),spring_unspecified_cereals,spring_unspecified_cereals,3,1,
Cereal experiments,unspecified_cereals,unspecified_cereals,3,1,
Cereal mixture,unspecified_cereals,unspecified_cereals,3,1,
